Iteration	 Values	 Type	
0	5	Fisher	42,33333333
1	6	Fisher	42,33333333
2	7	Fisher	42,33333333
3	8	Fisher	42,33333333
4	9	Fisher	42,33333333
5	10	Fisher	42,33333333
6	11	Fisher	42,33333333
7	12	Fisher	42,33333333
8	13	Fisher	42,33333333
9	14	Fisher	42,33333333
10	15	Fisher	42,33333333
11	16	Fisher	41,33333333
12	17	Fisher	41,33333333
13	18	Fisher	41,33333333
14	19	Fisher	41,33333333
15	20	Fisher	41,33333333
16	21	Fisher	41,33333333
17	22	Fisher	41,33333333
18	23	Fisher	41,33333333
19	24	Fisher	40,83333333
20	25	Fisher	41,08333333
21	26	Fisher	42,08333333
22	27	Fisher	42,08333333
23	28	Fisher	42,08333333
24	29	Fisher	42,08333333
25	30	Fisher	42,08333333
26	31	Fisher	42,08333333
27	32	Fisher	42,08333333
28	33	Fisher	42,08333333
29	34	Fisher	42,08333333
30	35	Fisher	42,58333333
31	36	Fisher	42,58333333
32	37	Fisher	42,58333333
33	38	Fisher	42,58333333
34	39	Fisher	42,58333333
35	40	Fisher	41,58333333
36	41	Fisher	41,58333333
37	42	Fisher	41,33333333
38	43	Fisher	41,33333333
39	44	Fisher	40,83333333
40	45	Fisher	40,33333333
41	46	Fisher	40,33333333
42	47	Fisher	40,33333333
43	48	Fisher	40,33333333
44	49	Fisher	40,33333333
45	50	Fisher	40,33333333
46	51	Fisher	40,33333333
47	52	Fisher	39,83333333
48	53	Fisher	39,33333333
49	54	Fisher	39,33333333
50	55	Fisher	39,08333333
51	56	Fisher	39,08333333
52	57	Fisher	38,58333333
53	58	Fisher	38,58333333
54	59	Fisher	38,08333333
55	60	Fisher	37,08333333
56	61	Fisher	37,08333333
57	62	Fisher	36,08333333
58	63	Fisher	36,08333333
59	64	Fisher	36,08333333
60	65	Fisher	35,08333333
61	66	Fisher	35,08333333
62	67	Fisher	35,08333333
63	68	Fisher	35,08333333
64	69	Fisher	35,08333333
65	70	Fisher	35,08333333
66	71	Fisher	34,33333333
67	72	Fisher	33,33333333
68	73	Fisher	33,33333333
69	74	Fisher	32,33333333
70	75	Fisher	32,33333333
71	76	Fisher	32,33333333
72	77	Fisher	31,83333333
73	78	Fisher	31,5
74	79	Fisher	32,5
75	80	Fisher	32
76	81	Fisher	31
77	82	Fisher	31
78	83	Fisher	31
79	84	Fisher	30,5
80	85	Fisher	29,5
81	86	Fisher	29,5
82	87	Fisher	29,5
83	88	Fisher	29,5
84	89	Fisher	29,5
85	90	Fisher	28,5
86	91	Fisher	28,5
87	92	Fisher	28,5
88	93	Fisher	28,5
89	94	Fisher	28,5
90	95	Fisher	28,5
91	96	Fisher	28,5
92	97	Fisher	28,5
93	98	Fisher	28,5
94	99	Fisher	28,5
0	5	Inter	42,33333333
1	6	Inter	42,33333333
2	7	Inter	42,33333333
3	8	Inter	42,33333333
4	9	Inter	41,33333333
5	10	Inter	41,33333333
6	11	Inter	41,58333333
7	12	Inter	41,08333333
8	13	Inter	42,08333333
9	14	Inter	42,08333333
10	15	Inter	42,08333333
11	16	Inter	42,58333333
12	17	Inter	42,08333333
13	18	Inter	42,08333333
14	19	Inter	42,08333333
15	20	Inter	42,08333333
16	21	Inter	40,83333333
17	22	Inter	39,83333333
18	23	Inter	39,33333333
19	24	Inter	38,83333333
20	25	Inter	38,33333333
21	26	Inter	37,08333333
22	27	Inter	36,08333333
23	28	Inter	34,58333333
24	29	Inter	34,58333333
25	30	Inter	34,33333333
26	31	Inter	34,33333333
27	32	Inter	33,83333333
28	33	Inter	33,33333333
29	34	Inter	32,33333333
30	35	Inter	31,83333333
31	36	Inter	31,83333333
32	37	Inter	31,33333333
33	38	Inter	31,33333333
34	39	Inter	31,33333333
35	40	Inter	31,33333333
36	41	Inter	31,33333333
37	42	Inter	31,33333333
38	43	Inter	31,33333333
39	44	Inter	31,33333333
40	45	Inter	31
41	46	Inter	31
42	47	Inter	30
43	48	Inter	29
44	49	Inter	28,5
45	50	Inter	28,5
46	51	Inter	28,5
47	52	Inter	28,5
48	53	Inter	28,5
49	54	Inter	28,5
50	55	Inter	28,5
51	56	Inter	28,5
52	57	Inter	28,5
53	58	Inter	28,5
54	59	Inter	28,5
55	60	Inter	28,5
56	61	Inter	28,5
57	62	Inter	28,5
58	63	Inter	28,5
59	64	Inter	28,5
60	65	Inter	28,5
61	66	Inter	28,5
62	67	Inter	28,5
63	68	Inter	28,5
64	69	Inter	28,5
65	70	Inter	28,5
66	71	Inter	28,5
67	72	Inter	28,5
68	73	Inter	28,5
69	74	Inter	28,5
70	75	Inter	28,5
71	76	Inter	28,5
72	77	Inter	28,5
73	78	Inter	28,5
74	79	Inter	28,5
75	80	Inter	28,5
76	81	Inter	28,5
77	82	Inter	28,5
78	83	Inter	28,5
79	84	Inter	28,5
80	85	Inter	28,5
81	86	Inter	28,5
82	87	Inter	28,5
83	88	Inter	28,5
84	89	Inter	28,5
85	90	Inter	28,5
86	91	Inter	28,5
87	92	Inter	28,5
88	93	Inter	28,5
89	94	Inter	28,5
90	95	Inter	28,5
91	96	Inter	28,5
92	97	Inter	28,5
93	98	Inter	28,5
94	99	Inter	28,5
-1	20	Intra	42,08333333
0	5	Intra	42,33333333
1	6	Intra	42,33333333
2	7	Intra	42,33333333
3	8	Intra	42,33333333
4	9	Intra	40,83333333
5	10	Intra	40,83333333
6	11	Intra	40,83333333
7	12	Intra	40,83333333
8	13	Intra	40,83333333
9	14	Intra	40,83333333
10	15	Intra	40,83333333
11	16	Intra	41,83333333
12	17	Intra	42,08333333
13	18	Intra	42,08333333
14	19	Intra	42,08333333
15	20	Intra	42,08333333
16	21	Intra	42,08333333
17	22	Intra	42,08333333
18	23	Intra	42,08333333
19	24	Intra	41,58333333
20	25	Intra	41,58333333
21	26	Intra	41,58333333
22	27	Intra	41,33333333
23	28	Intra	41,33333333
24	29	Intra	40,83333333
25	30	Intra	40,33333333
26	31	Intra	40,33333333
27	32	Intra	40,33333333
28	33	Intra	40,33333333
29	34	Intra	40,33333333
30	35	Intra	39,83333333
31	36	Intra	39,33333333
32	37	Intra	38,33333333
33	38	Intra	38,33333333
34	39	Intra	38,08333333
35	40	Intra	37,58333333
36	41	Intra	37,58333333
37	42	Intra	37,58333333
38	43	Intra	37,08333333
39	44	Intra	37,08333333
40	45	Intra	37,08333333
41	46	Intra	37,08333333
42	47	Intra	38,08333333
43	48	Intra	37,08333333
44	49	Intra	37,08333333
45	50	Intra	36,08333333
46	51	Intra	36,08333333
47	52	Intra	35,08333333
48	53	Intra	35,08333333
49	54	Intra	35,08333333
50	55	Intra	34,58333333
51	56	Intra	34,08333333
52	57	Intra	34,08333333
53	58	Intra	34,08333333
54	59	Intra	33,83333333
55	60	Intra	33,5
56	61	Intra	32,5
57	62	Intra	32,5
58	63	Intra	32,5
59	64	Intra	32,5
60	65	Intra	32,5
61	66	Intra	32,5
62	67	Intra	32,5
63	68	Intra	32
64	69	Intra	32
65	70	Intra	31
66	71	Intra	31
67	72	Intra	31
68	73	Intra	31
69	74	Intra	30
70	75	Intra	30
71	76	Intra	29
72	77	Intra	29
73	78	Intra	29
74	79	Intra	28,5
75	80	Intra	28,5
76	81	Intra	28,5
77	82	Intra	28,5
78	83	Intra	28,5
79	84	Intra	28,5
80	85	Intra	28,5
81	86	Intra	28,5
82	87	Intra	28,5
83	88	Intra	28,5
84	89	Intra	28,5
85	90	Intra	28,5
86	91	Intra	28,5
87	92	Intra	28,5
88	93	Intra	28,5
89	94	Intra	28,5
90	95	Intra	28,5
91	96	Intra	28,5
92	97	Intra	28,5
93	98	Intra	28,5
94	99	Intra	28,5
